Codigo_IBGE,Municipio,UF,Regiao,Populacao_2024,Faixa_populacao,Onibus_intramunicipal,Onibus_intermunicipal,Intermunicipal_circula_interno,Frota_adaptada_PCD,Tem_onibus_publico_local,Classificacao,Status_Verificacao_Web,Fonte_Verificacao,Data_Verificacao,Observacao_Verificacao
1100114,Jaru,RO,1 - Norte,55583,5 - 50001 até 100000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://www.telelistas.net/ro/jaru/onibus+urbanos,2026-08-07,"Diretório de empresas (TeleListas) lista especificamente 5 empresas de 'Ônibus Urbanos' em Jaru/RO, divergindo do 'Não' do MUNIC 2024."
1100122,Ji-Paraná,RO,1 - Norte,139359,6 - 100001 até 500000,Sim,Sim,Não,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1100130,Machadinho DOeste,RO,1 - Norte,34063,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100148,Nova Brasilândia DOeste,RO,1 - Norte,16504,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
1100155,Ouro Preto do Oeste,RO,1 - Norte,38681,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Texto genérico/padronizado semelhante ao de outras cidades pesquisadas (baixa confiabilidade); sem confirmação oficial específica. Mantido dado original do MUNIC.
1100189,Pimenta Bueno,RO,1 - Norte,39053,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Texto genérico/padronizado de blog de turismo (mesmo padrão repetido em várias cidades) sem confirmação confiável específica. Mantido dado original do MUNIC.
1100205,Porto Velho,RO,1 - Norte,514873,7 - Maior que 500000,Sim,Sim,Sim,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Confirmado,Sistema de transporte público municipal amplamente documentado (site da prefeitura/empresa de transporte municipal),2026-08-07,Capital estadual com sistema de ônibus urbano consolidado e publicamente conhecido; dado do MUNIC 2024 já indicava 'Sim' corretamente.
1100254,Presidente Médici,RO,1 - Norte,20518,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100262,Rio Crespo,RO,1 - Norte,3753,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1100288,Rolim de Moura,RO,1 - Norte,62559,5 - 50001 até 100000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,"Apenas menção genérica a 'transporte público municipal opera em linhas regulares', sem fonte oficial ou específica confirmando. Mantido dado original do MUNIC."
1100296,Santa Luzia DOeste,RO,1 - Norte,7877,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Santa Luzia D'Oeste-RO),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1100304,Vilhena,RO,1 - Norte,108528,6 - 100001 até 500000,Sim,Não,-,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1100320,São Miguel do Guaporé,RO,1 - Norte,22267,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100338,Nova Mamoré,RO,1 - Norte,28496,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100346,Alvorada DOeste,RO,1 - Norte,13837,3 - 10001 até 20000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://www.transportesalvorada.com.br/,2026-08-08,"Empresa 'Transportes Alvorada' (fundada em 1960) opera especificamente serviços de transporte de passageiros urbano, interurbano e rodoviário em Alvorada D'Oeste/RO. Diverge do 'Não' do MUNIC 2024."
1100379,Alto Alegre dos Parecis,RO,1 - Norte,12263,3 - 10001 até 20000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://onibusbrasil.com/empresa/prefeitura-municipal-de-alto-alegre-dos-parecis,2026-08-08,"Prefeitura Municipal de Alto Alegre dos Parecis está registrada como operadora de ônibus (Ônibus Brasil), indicando prestação direta de serviço de transporte coletivo municipal. Diverge do 'Não' do MUNIC 2024."
1100403,Alto Paraíso,RO,1 - Norte,17463,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal ou localidades homônimas; sem confirmação confiável específica. Mantido dado original do MUNIC.
1100452,Buritis,RO,1 - Norte,30729,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1100502,Novo Horizonte do Oeste,RO,1 - Norte,8056,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Texto indica cobertura limitada de ônibus urbano com táxi como alternativa principal, mas é texto genérico/templado (Novo Horizonte do Oeste-RO)",2026-08-08,"Texto padronizado, insuficiente como confirmação"
1100601,Cacaulândia,RO,1 - Norte,4345,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1100700,Campo Novo de Rondônia,RO,1 - Norte,9225,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Texto genérico/templado sobre 'linhas locais' sem fonte verificável (Campo Novo de Rondônia-RO),2026-08-08,"Texto padronizado característico de conteúdo genérico, não confiável como evidência"
1100809,Candeias do Jamari,RO,1 - Norte,24163,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1100908,Castanheiras,RO,1 - Norte,3456,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1100924,Chupinguaia,RO,1 - Norte,10129,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1100940,Cujubim,RO,1 - Norte,15883,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1101005,Governador Jorge Teixeira,RO,1 - Norte,8420,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultados sobre transporte coletivo referem-se a Porto Velho-RO (avenida homônima), não ao município Governador Jorge Teixeira",2026-08-08,"Confusão com avenida homônima em Porto Velho, sem evidência válida"
1101104,Itapuã do Oeste,RO,1 - Norte,9209,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Itapuã do Oeste-RO),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1101203,Ministro Andreazza,RO,1 - Norte,6657,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas ônibus escolares estaduais e rodoviária intermunicipal (Ministro Andreazza-RO),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1101302,Mirante da Serra,RO,1 - Norte,9740,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Mirante da Serra-RO),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1101401,Monte Negro,RO,1 - Norte,12241,3 - 10001 até 20000,Sim,Não,-,-,Sim,Possui ônibus urbano (intramunicipal),Corrigido,https://www.econodata.com.br/consulta-empresa/09088861000148-A-M-TRANSPORTES-LTDA,2026-08-08,Empresa 'Monte Negro Transportes' (A.M. Transportes LTDA) tem como atividade principal 'transporte rodoviário coletivo municipal de passageiros com itinerário fixo' em Monte Negro/RO. Diverge do 'Não' do MUNIC 2024.
1101435,Nova União,RO,1 - Norte,6577,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Resultados confundidos com Nova União-MG e empresas homônimas, nada específico sobre transporte urbano em Nova União-RO",2026-08-10,"Confusão com município/empresas homônimas, sem evidência válida"
1101450,Parecis,RO,1 - Norte,4390,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1101468,Pimenteiras do Oeste,RO,1 - Norte,2311,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1101476,Primavera de Rondônia,RO,1 - Norte,3279,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Pendente,,,
1101484,São Felipe DOeste,RO,1 - Norte,5605,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Texto genérico/templado sobre locomoção particular/táxi (São Felipe d'Oeste-RO),2026-08-11,"Texto padronizado/genérico, sem menção confiável a ônibus urbano"
1101492,São Francisco do Guaporé,RO,1 - Norte,17511,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1101500,Seringueiras,RO,1 - Norte,12954,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
1101559,Teixeirópolis,RO,1 - Norte,4536,1 - Até 5000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Notícia sobre compra de veículos é para uso técnico/administrativo, não linha de ônibus coletivo (Teixeirópolis-RO)",2026-08-13,"Evidência refere-se a veículos administrativos, não coletivo urbano"
1101609,Theobroma,RO,1 - Norte,8540,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Theobroma-RO),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1101708,Urupá,RO,1 - Norte,11377,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica de ônibus urbano. Mantido dado original do MUNIC.
1101757,Vale do Anari,RO,1 - Norte,8265,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal (Vale do Anari-RO),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1101807,Vale do Paraíso,RO,1 - Norte,6843,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária intermunicipal e transporte de Porto Velho/Ji-Paraná (Vale do Paraíso-RO),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1200013,Acrelândia,AC,1 - Norte,14657,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200054,Assis Brasil,AC,1 - Norte,8573,2 - 5001 até 10000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200104,Brasiléia,AC,1 - Norte,27841,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200138,Bujari,AC,1 - Norte,13766,3 - 10001 até 20000,Sim,Sim,Não,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1200179,Capixaba,AC,1 - Norte,10922,3 - 10001 até 20000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1200203,Cruzeiro do Sul,AC,1 - Norte,98382,5 - 50001 até 100000,Sim,Sim,Não,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1200252,Epitaciolândia,AC,1 - Norte,19739,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200302,Feijó,AC,1 - Norte,37644,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200328,Jordão,AC,1 - Norte,9787,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas rodoviária/terminal intermunicipal (Jordão-AC),2026-08-08,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1200336,Mâncio Lima,AC,1 - Norte,20329,4 - 20001 até 50000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1200344,Manoel Urbano,AC,1 - Norte,12776,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200351,Marechal Thaumaturgo,AC,1 - Norte,17951,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,Busca web sobre mobilidade em Marechal Thaumaturgo/AC,2026-08-07,Confirmado: infraestrutura de transporte público limitada; locomoção é por embarcações no Rio Juruá e a pé; sem sistema de ônibus urbano.
1200385,Plácido de Castro,AC,1 - Norte,17127,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200393,Porto Walter,AC,1 - Norte,11275,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica de ônibus urbano. Mantido dado original do MUNIC.
1200401,Rio Branco,AC,1 - Norte,387852,6 - 100001 até 500000,Sim,Sim,Não,Totalmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Confirmado,Sistema de transporte público municipal amplamente documentado (site da prefeitura/empresa de transporte municipal),2026-08-07,Capital estadual com sistema de ônibus urbano consolidado e publicamente conhecido; dado do MUNIC 2024 já indicava 'Sim' corretamente.
1200427,Rodrigues Alves,AC,1 - Norte,15537,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200435,Santa Rosa do Purus,AC,1 - Norte,7143,2 - 5001 até 10000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,Buscas retornaram apenas transporte intermunicipal/aéreo até Rio Branco (Santa Rosa do Purus-AC),2026-08-10,Nenhuma evidência específica de ônibus urbano intramunicipal encontrada
1200450,Senador Guiomard,AC,1 - Norte,22352,4 - 20001 até 50000,Não,Sim,Sim,-,Sim,Possui ônibus local (via intermunicipal que circula internamente),Pendente,,,
1200500,Sena Madureira,AC,1 - Norte,43916,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200609,Tarauacá,AC,1 - Norte,46517,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1200708,Xapuri,AC,1 - Norte,19090,3 - 10001 até 20000,Recusa,Recusa,Recusa,Recusa,Sem info,Sem informação (recusa/não informou),Pendente,,,
1200807,Porto Acre,AC,1 - Norte,17455,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1300029,Alvarães,AM,1 - Norte,16670,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,Busca web sobre mobilidade em Alvarães/AM,2026-08-08,"Confirmado: cidade ribeirinha sem rodoviária central de ônibus tradicionais; acesso predominantemente fluvial, locomoção interna a pé/mototáxi."
1300060,Amaturá,AM,1 - Norte,11411,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica de ônibus urbano. Mantido dado original do MUNIC.
1300086,Anamã,AM,1 - Norte,10318,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,"Buscas retornaram apenas dados de Manaus-AM, não de Anamã",2026-08-08,Nenhuma evidência específica sobre Anamã encontrada
1300102,Anori,AM,1 - Norte,17932,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre Manaus; sem fonte específica sobre Anori/AM. Mantido dado original do MUNIC.
1300144,Apuí,AM,1 - Norte,21735,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1300201,Atalaia do Norte,AM,1 - Norte,15892,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Locomoção é a pé/fluvial devido ao porte compacto da cidade; sem confirmação específica de ônibus urbano. Mantido dado original do MUNIC.
1300300,Autazes,AM,1 - Norte,45328,4 - 20001 até 50000,Sim,Sim,Sim,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1300409,Barcelos,AM,1 - Norte,18626,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Resultados confundidos com Barcelos/Portugal e Avenida Barcelos em Manaus; sem fonte específica sobre o município de Barcelos/AM. Mantido dado original do MUNIC.
1300508,Barreirinha,AM,1 - Norte,33436,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Resultados confundidos com bairros homônimos em Curitiba/Manaus; sem fonte específica sobre o município de Barreirinha/AM. Mantido dado original do MUNIC.
1300607,Benjamin Constant,AM,1 - Norte,40509,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,"Cidade ribeirinha isolada, acesso só fluvial; menção a associação de táxi/transporte coletivo (ASTAC-BC) mas sem confirmação específica de ônibus urbano. Mantido dado original do MUNIC."
1300631,Beruri,AM,1 - Norte,22136,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,Busca web sobre mobilidade em Beruri/AM,2026-08-07,Confirmado: sem sistema de transporte público urbano formal; pequenas embarcações ('rabetas') e canoas são o principal meio de locomoção; acesso à cidade é fluvial pelo Rio Purus.
1300680,Boa Vista do Ramos,AM,1 - Norte,25769,4 - 20001 até 50000,Sim,Não,-,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1300706,Boca do Acre,AM,1 - Norte,38246,4 - 20001 até 50000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1300805,Borba,AM,1 - Norte,34879,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Cidade ribeirinha isolada no Rio Madeira; menção a transporte fluvial mas sem confirmação específica sobre ônibus urbano. Mantido dado original do MUNIC.
1300839,Caapiranga,AM,1 - Norte,14310,3 - 10001 até 20000,Não informou,Não informou,Não informou,Não informou,Sem info,Sem informação (recusa/não informou),Pendente,,,
1300904,Canutama,AM,1 - Norte,17885,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,Busca web sobre mobilidade em Canutama/AM,2026-08-07,Confirmado explicitamente: não há transporte urbano de ônibus coletivo dentro de Canutama; acesso é fluvial a partir de Manaus.
1301001,Carauari,AM,1 - Norte,30892,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal ou localidades homônimas; sem confirmação confiável específica. Mantido dado original do MUNIC.
1301100,Careiro,AM,1 - Norte,32442,4 - 20001 até 50000,Sim,Sim,Não,Sem adaptação,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1301159,Careiro da Várzea,AM,1 - Norte,19809,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas transporte intermunicipal com Manaus; sem fonte específica sobre ônibus urbano interno. Mantido dado original do MUNIC.
1301209,Coari,AM,1 - Norte,73820,5 - 50001 até 100000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Fontes encontradas tratam apenas de transporte rodoviário intermunicipal (rodoviária); sem confirmação sobre sistema urbano próprio. Mantido dado original do MUNIC.
1301308,Codajás,AM,1 - Norte,24451,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Confirmado,Busca web sobre mobilidade em Codajás/AM,2026-08-07,"Confirmado: acesso e locomoção predominantemente fluvial (barcos/lanchas conectam comunidades ribeirinhas, ilhas e centro urbano); sem sistema de ônibus urbano terrestre."
1301407,Eirunepé,AM,1 - Norte,35534,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Apenas rodoviária intermunicipal; sem fonte específica sobre ônibus urbano. Mantido dado original do MUNIC.
1301506,Envira,AM,1 - Norte,17920,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas resultados sobre Manaus; sem fonte específica sobre Envira/AM. Mantido dado original do MUNIC.
1301605,Fonte Boa,AM,1 - Norte,27875,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal ou localidades homônimas; sem confirmação confiável específica. Mantido dado original do MUNIC.
1301654,Guajará,AM,1 - Norte,14332,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal; sem confirmação confiável específica. Mantido dado original do MUNIC.
1301704,Humaitá,AM,1 - Norte,62312,5 - 50001 até 100000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
1301803,Ipixuna,AM,1 - Norte,25458,4 - 20001 até 50000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-07,Resultados confundidos com bairro homônimo em Manaus e com Ipixuna do Pará; sem fonte específica sobre Ipixuna/AM. Mantido dado original do MUNIC.
1301852,Iranduba,AM,1 - Norte,67114,5 - 50001 até 100000,Sim,Não,-,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1301902,Itacoatiara,AM,1 - Norte,112520,6 - 100001 até 500000,Sim,Sim,Não,Parcialmente adaptada,Sim,Possui ônibus urbano (intramunicipal),Pendente,,,
1301951,Itamarati,AM,1 - Norte,11730,3 - 10001 até 20000,Não,Não,-,-,Não,Não possui transporte coletivo por ônibus,Sem fonte encontrada,,2026-08-08,Busca retornou apenas informações sobre rodoviária/transporte intermunicipal ou empresa homônima que atua em outra região; sem confirmação confiável específica. Mantido dado original do MUNIC.
1302009,Itapiranga,AM,1 - Norte,10805,3 - 10001 até 20000,Não,Sim,Não,-,Não,Só ônibus intermunicipal (sem circulação interna),Pendente,,,
